Duration,Start date,End date,Start station #,Start Station Lat,Start Station Lng,End station #,LATITUDE,LONGITUDE,Bike number
W01136,453,1/2/12 11:53,31109,38.905126,-77.056887,31222,38.923203,-77.047637,W01136
W01270,487,1/1/12 13:02,31100,38.90985,-77.034438,31223,38.90534,-77.046774,W01270
W00702,742,1/3/12 6:55,31206,38.934267,-77.057979,31224,38.89968,-77.041539,W00702
W01114,135,1/1/12 11:49,31404,38.9418,-77.0251,31225,38.9126,-77.0135,W01114
W00034,454,1/3/12 9:31,31018,38.900412,-77.001949,31226,38.894514,-77.031617,W00034
W00539,1055,1/2/12 13:11,31015,38.922925,-77.042581,31227,38.9086,-77.0323,W00539
W00029,372,1/2/12 0:30,31221,38.882915,-76.987907,31228,38.9059,-77.0325,W00029
W01328,804,1/1/12 12:43,31604,38.899408,-77.015289,31229,38.899972,-76.998347,W01328
W00882,3844,1/1/12 14:31,31005,38.8629,-77.0528,31230,38.902061,-77.038322,W00882
W00945,1417,1/1/12 12:52,31242,38.89968,-77.041539,31231,38.927872,-77.043358,W00945
W00526,8681,1/1/12 16:40,31500,38.9268,-77.0322,31232,38.8952,-77.0436,W00526
W00166,733,1/2/12 11:44,31624,38.938736,-77.087171,31233,38.9101,-77.0444,W00166
W01295,878,1/3/12 18:54,31802,38.90985,-77.034438,31234,38.8963,-77.045,W01295
W00805,681,1/3/12 2:25,31003,38.9003,-77.0429,31235,38.8963,-77.045,W00805
W00539,1326,1/3/12 7:59,31232,38.886952,-76.996806,31236,38.9176,-77.0321,W00539
W01187,163,1/2/12 0:49,31506,38.881185,-77.001828,31237,38.9172,-77.0259,W01187
W00139,859,1/2/12 11:43,31202,38.90375,-77.06269,31238,38.905737,-77.02227,W00139
W01355,488,1/1/12 12:57,31106,38.923203,-77.047637,31239,38.90985,-77.034438,W01355
W01215,238,1/4/12 7:56,31247,38.903407,-77.043648,31240,38.90375,-77.06269,W01215
W01185,4279,1/1/12 10:33,31241,38.9059,-77.0325,31241,38.886952,-76.996806,W01185
W00122,473,1/2/12 17:34,31503,38.929464,-77.027822,31242,38.929464,-77.027822,W00122
W01270,138,1/3/12 17:56,31243,38.9155,-77.0222,31243,38.905126,-77.056887,W01270
W01073,301,1/2/12 22:01,31236,38.9121,-77.0387,31244,38.886952,-76.996806,W01073
W00947,2270,1/2/12 14:16,31227,38.9319,-77.0388,31245,38.884,-76.995397,W00947
W01031,261,1/2/12 15:02,31007,38.90304,-77.019027,31246,38.898364,-77.027869,W01031
W01254,561,1/4/12 1:35,31706,38.898385,-77.031666,31247,38.9101,-77.0444,W01254
