End station #,LATITUDE,LONGITUDE
32009,38.902,-77.03353
31281,38.905996,-77.039802
31701,38.8767,-77.0178
31710,38.894514,-77.031617
31059,38.89696,-77.00493
31800,38.908905,-77.04478
31712,38.893028,-77.026013
31072,38.888767,-77.02858
31411,38.9418,-77.0251
31640,38.90985,-77.034438
31518,38.894941,-77.09169
32016,38.9126,-77.0135
31709,38.901539,-77.046564
31711,38.9057,-77.0056
