End Station,Latitude,Longitude
31901,38.896134,-76.9929
31902,38.912939,-77.032085
31903,38.900413,-76.982872
31904,38.90366,-77.034846
31905,38.90304,-77.019027
31906,38.9057,-77.0056
31907,38.89696,-77.00493
31908,38.8963,-77.045
31909,38.938736,-77.087171
31910,38.9121,-77.0387
31912,38.893028,-77.026013
31913,38.90864,-77.02277
31914,38.9176,-77.0321
31915,38.857405,-77.051132
31916,38.897857,-77.026975
31917,38.888553,-77.032429
31918,38.920669,-77.04368
31919,38.905126,-77.056887
32000,38.9059,-77.0325
32001,38.90304,-77.019027
32002,38.897315,-77.070993
32003,38.89968,-77.041539
32004,38.902221,-77.059219
32005,38.923583,-77.050046
32006,38.896544,-76.96012
32007,38.886266,-77.022241
32008,38.897446,-77.009888
32009,38.894514,-77.031617
32010,38.90849,-77.063586
32011,38.88397,-77.10783
32012,38.880012,-77.107854
32013,38.885801,-77.097745
32014,38.90276,-77.03863
32015,38.88412,-77.017445
32016,38.899983,-76.991383
32017,38.901539,-77.046564
32018,38.90534,-77.046774
32019,38.905996,-77.039802
32020,38.89696,-77.00493
32021,38.888767,-77.02858
32022,38.908905,-77.04478
32023,38.9121,-77.0387
32024,38.90547,-77.00213
32025,38.897446,-77.009888
32026,38.897315,-77.070993
32027,38.886266,-77.022241
32028,38.917761,-77.04062
32029,38.902204,-77.04337
32030,38.920387,-77.025672
32031,38.899972,-76.998347
32032,38.908387,-76.996869
32033,38.887378,-77.001955
32034,38.901539,-77.046564
32035,38.898364,-77.027869
32036,38.897315,-77.070993
32037,38.896134,-76.9929
32038,38.894573,-77.01994
32039,38.878694,-77.023054
32040,38.878854,-77.005727
32041,38.905126,-77.056887
32042,38.891696,-77.0846
32043,38.90985,-77.034438
32044,38.927872,-77.043358
32045,38.89696,-77.00493
32046,38.9121,-77.0387
32047,38.90547,-77.00213
32048,38.902204,-77.04337
32049,38.862478,-77.086599
32050,38.905737,-77.02227
32051,38.884,-76.995397
32052,38.9172,-77.0259
32053,38.8792,-76.9953
32054,38.881044,-77.111768
32055,38.886277,-77.028242
32056,38.8997,-77.023086
32200,38.916787,-77.028139
32201,38.884,-76.995397
32202,38.8763,-77.0037
32204,38.9059,-77.0325
32205,38.887378,-77.001955
32206,38.922925,-77.042581
32210,38.8743,-77.0057
32211,38.90304,-77.019027
32213,38.888251,-77.049426
32214,38.917622,-77.01597
32215,38.905996,-77.039802
32218,38.886952,-76.996806
32219,38.887378,-77.001955
