Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,Year
2037,10/1/2012 12:08,10/1/2012 12:42,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31234,20th & O St NW / Dupont South,W00696,Casual,2012
160,10/1/2012 12:21,10/1/2012 12:24,31202,14th & R St NW,31241,Thomas Circle,W01132,Member,2012
304,10/1/2012 12:25,10/1/2012 12:30,31612,D St & Maryland Ave NE,31623,Columbus Circle / Union Station,W00142,Member,2012
451,10/1/2012 12:27,10/1/2012 12:34,31231,14th & D St NW / Ronald Reagan Building,31254,15th & K St NW,W00399,Member,2012
742,10/1/2012 12:35,10/1/2012 12:47,31610,Eastern Market / 7th & North Carolina Ave SE,31623,Columbus Circle / Union Station,W01224,Member,2012
845,10/1/2012 12:40,10/1/2012 12:54,31612,D St & Maryland Ave NE,31243,4th & C St SW,W20117,Casual,2012
295,10/1/2012 12:41,10/1/2012 12:46,31049,Utah St & 11th St N ,31023,Fairfax Dr & Wilson Blvd,W20185,Member,2012
3526,10/1/2012 12:41,10/1/2012 13:40,31217,USDA / 12th & Independence Ave SW,31614,11th & H St NE,W20056,Casual,2012
2158,10/1/2012 12:44,10/1/2012 13:20,31235,19th St & Constitution Ave NW,31014,Lynn & 19th St North,W01353,Casual,2012
544,10/1/2012 12:45,10/1/2012 12:54,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31215,Georgetown Harbor / 30th St NW,W20901,Member,2012
1719,10/1/2012 12:49,10/1/2012 13:17,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31605,3rd & D St SE,W00709,Member,2012
557,10/1/2012 12:51,10/1/2012 13:00,31230,Metro Center / 12th & G St NW,31203,14th & Rhode Island Ave NW,W20179,Member,2012
1102,10/1/2012 13:05,10/1/2012 13:23,31221,18th & M St NW,31619,Lincoln Park / 13th & East Capitol St NE ,W01424,Member,2012
384,10/1/2012 13:05,10/1/2012 13:12,31224,19th & L St NW,31222,New York Ave & 15th St NW,W01013,Member,2012
317,10/1/2012 13:17,10/1/2012 13:22,31220,US Dept of State / Virginia Ave & 21st St NW,31215,Georgetown Harbor / 30th St NW,W20923,Member,2012
436,10/1/2012 13:26,10/1/2012 13:33,31623,Columbus Circle / Union Station,31622,13th & D St NE,W01232,Member,2012
445,10/1/2012 13:41,10/1/2012 13:49,31614,11th & H St NE,31618,4th & East Capitol St NE,W20056,Member,2012
362,10/1/2012 13:49,10/1/2012 13:55,31234,20th & O St NW / Dupont South,31205,21st & I St NW,W00024,Member,2012
214,10/1/2012 14:05,10/1/2012 14:08,31228,8th & H St NW,31230,Metro Center / 12th & G St NW,W01484,Member,2012
197,10/1/2012 14:13,10/1/2012 14:16,31212,21st & M St NW,31252,21st St & Pennsylvania Ave NW,W00968,Member,2012
1197,10/1/2012 14:20,10/1/2012 14:40,31609,Maine Ave & 7th St SW,31225,C & O Canal & Wisconsin Ave NW,W01196,Member,2012
782,10/1/2012 14:20,10/1/2012 14:33,31033,Barcroft Community Center,31014,Lynn & 19th St North,W20169,Member,2012
304,10/1/2012 14:26,10/1/2012 14:31,31246,M St & Pennsylvania Ave NW,31100,19th St & Pennsylvania Ave NW,W01198,Member,2012
3907,10/1/2012 14:27,10/1/2012 15:33,31213,17th & K St NW,31241,Thomas Circle,W01065,Casual,2012
214,10/1/2012 14:28,10/1/2012 14:32,31225,C & O Canal & Wisconsin Ave NW,31237,25th St & Pennsylvania Ave NW,W00656,Member,2012
503,10/1/2012 14:45,10/1/2012 14:53,31035,N Quincy St & Glebe Rd,31022,Clarendon Metro / Wilson Blvd & N Highland St,W00852,Member,2012
5169,10/1/2012 14:57,10/1/2012 16:23,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31212,21st & M St NW,W01429,Casual,2012
449,10/1/2012 15:03,10/1/2012 15:10,31623,Columbus Circle / Union Station,31605,3rd & D St SE,W00253,Member,2012
162,10/1/2012 15:07,10/1/2012 15:10,31230,Metro Center / 12th & G St NW,31228,8th & H St NW,W00339,Member,2012
1002,10/1/2012 15:24,10/1/2012 15:41,31600,5th & K St NW,31108,4th & M St SW,w00223,Member,2012
579,10/1/2012 15:29,10/1/2012 15:39,31224,19th & L St NW,31225,C & O Canal & Wisconsin Ave NW,W00163,Member,2012
276,10/1/2012 15:38,10/1/2012 15:43,31103,16th & Harvard St NW,31106,Calvert & Biltmore St NW,W00291,Member,2012
470,10/1/2012 15:51,10/1/2012 15:59,31223,Convention Center / 7th & M St NW,31230,Metro Center / 12th & G St NW,W00040,Member,2012
920,10/1/2012 15:51,10/1/2012 16:07,31228,8th & H St NW,31214,17th & Corcoran St NW,W01328,Member,2012
3128,10/1/2012 16:06,10/1/2012 16:59,31247,Jefferson Dr & 14th St SW,31256,10th & E St NW,W00625,Casual,2012
944,10/1/2012 16:14,10/1/2012 16:30,31238,14th & G St NW,31108,4th & M St SW,W00796,Member,2012
405,10/1/2012 16:21,10/1/2012 16:28,31600,5th & K St NW,31600,5th & K St NW,W00970,Member,2012
668,10/1/2012 16:32,10/1/2012 16:43,31254,15th & K St NW,31621,4th & D St NW / Judiciary Square,W00617,Member,2012
232,10/1/2012 16:40,10/1/2012 16:44,31037,Ballston Metro / N Stuart & 9th St N,31035,N Quincy St & Glebe Rd,W00714,Member,2012
653,10/1/2012 16:57,10/1/2012 17:08,31218,L'Enfant Plaza / 7th & C St SW,31624,North Capitol St & F St NW,W00913,Member,2012
281,10/1/2012 17:03,10/1/2012 17:08,31623,Columbus Circle / Union Station,31614,11th & H St NE,W00836,Member,2012
1087,10/1/2012 17:08,10/1/2012 17:26,31107,Lamont & Mt Pleasant NW,31503,Florida Ave & R St NW,W01275,Member,2012
326,10/1/2012 17:11,10/1/2012 17:16,31616,3rd & H St NE,31618,4th & East Capitol St NE,W00660,Member,2012
1881,10/1/2012 17:14,10/1/2012 17:45,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31235,19th St & Constitution Ave NW,W20184,Casual,2012
680,10/1/2012 17:20,10/1/2012 17:31,31621,4th & D St NW / Judiciary Square,31605,3rd & D St SE,W01303,Member,2012
150,10/1/2012 17:29,10/1/2012 17:31,31607,14th & D St SE,31626,15th St & Massachusetts Ave SE,W00399,Member,2012
330,10/1/2012 17:30,10/1/2012 17:36,31626,15th St & Massachusetts Ave SE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W00642,Member,2012
521,10/1/2012 17:32,10/1/2012 17:41,31224,19th & L St NW,31223,Convention Center / 7th & M St NW,W20111,Member,2012
619,10/1/2012 17:32,10/1/2012 17:43,31241,Thomas Circle,31235,19th St & Constitution Ave NW,W20958,Member,2012
758,10/1/2012 17:34,10/1/2012 17:47,31624,North Capitol St & F St NW,31622,13th & D St NE,W20109,Member,2012
179,10/1/2012 17:37,10/1/2012 17:40,31011,23rd & Crystal Dr,31007,Crystal City Metro / 18th & Bell St,W00636,Member,2012
302,10/1/2012 17:46,10/1/2012 17:51,31245,7th & R St NW / Shaw Library,31203,14th & Rhode Island Ave NW,W00176,Member,2012
254,10/1/2012 17:53,10/1/2012 17:57,31038,Glebe Rd & 11th St N,31039,Wilson Blvd & N Quincy St,W01220,Member,2012
761,10/1/2012 17:53,10/1/2012 18:06,31617,Bladensburg Rd & Benning Rd NE,31601,19th & East Capitol St SE,W00780,Member,2012
1028,10/1/2012 17:56,10/1/2012 18:13,31239,Rhode Island & Connecticut Ave NW,31506,1st & Rhode Island Ave NW,W01002,Member,2012
153,10/1/2012 18:03,10/1/2012 18:05,31253,19th & K St NW,31221,18th & M St NW,W00260,Member,2012
576,10/1/2012 18:06,10/1/2012 18:16,31239,Rhode Island & Connecticut Ave NW,31104,Adams Mill & Columbia Rd NW,W00759,Member,2012
225,10/1/2012 18:09,10/1/2012 18:12,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W01111,Member,2012
179,10/1/2012 18:20,10/1/2012 18:23,31048,King St Metro South,31045,Commerce St & Fayette St,W20115,Member,2012
625,10/1/2012 18:29,10/1/2012 18:39,31621,4th & D St NW / Judiciary Square,31623,Columbus Circle / Union Station,W00892,Casual,2012
398,10/1/2012 18:29,10/1/2012 18:36,31219,10th St & Constitution Ave NW,31624,North Capitol St & F St NW,W01247,Member,2012
1099,10/1/2012 18:34,10/1/2012 18:53,31212,21st & M St NW,31101,14th & V St NW,W00633,Casual,2012
412,10/1/2012 18:36,10/1/2012 18:43,31228,8th & H St NW,31109,7th & T St NW,W00331,Member,2012
344,10/1/2012 18:38,10/1/2012 18:43,31227,13th St & New York Ave NW,31203,14th & Rhode Island Ave NW,W01105,Member,2012
262,10/1/2012 18:48,10/1/2012 18:53,31252,21st St & Pennsylvania Ave NW,31221,18th & M St NW,W01242,Member,2012
883,10/1/2012 18:51,10/1/2012 19:05,31107,Lamont & Mt Pleasant NW,31236,37th & O St NW / Georgetown University,W01109,Member,2012
482,10/1/2012 18:53,10/1/2012 19:01,31215,Georgetown Harbor / 30th St NW,31257,22nd & I St NW / Foggy Bottom,W00025,Member,2012
158,10/1/2012 18:59,10/1/2012 19:02,31215,Georgetown Harbor / 30th St NW,31246,M St & Pennsylvania Ave NW,W00451,Member,2012
520,10/1/2012 19:02,10/1/2012 19:10,31230,Metro Center / 12th & G St NW,31623,Columbus Circle / Union Station,W00420,Member,2012
242,10/1/2012 19:02,10/1/2012 19:06,31252,21st St & Pennsylvania Ave NW,31221,18th & M St NW,W01184,Member,2012
853,10/1/2012 19:05,10/1/2012 19:19,31237,25th St & Pennsylvania Ave NW,31014,Lynn & 19th St North,W20182,Member,2012
495,10/1/2012 19:11,10/1/2012 19:19,31223,Convention Center / 7th & M St NW,31506,1st & Rhode Island Ave NW,W01098,Member,2012
805,10/1/2012 19:15,10/1/2012 19:28,31252,21st St & Pennsylvania Ave NW,31104,Adams Mill & Columbia Rd NW,W00865,Member,2012
246,10/1/2012 19:40,10/1/2012 19:44,31212,21st & M St NW,31246,M St & Pennsylvania Ave NW,W00947,Member,2012
1081,10/1/2012 19:44,10/1/2012 20:02,31244,4th & E St SW,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20923,Casual,2012
1116,10/1/2012 20:02,10/1/2012 20:20,31302,Wisconsin Ave & Newark St NW,31229,New Hampshire Ave & T St NW,W00710,Member,2012
1310,10/1/2012 20:07,10/1/2012 20:29,31307,3000 Connecticut Ave NW / National Zoo,31602,Park Rd & Holmead Pl NW,W01205,Member,2012
226,10/1/2012 20:57,10/1/2012 21:01,31230,Metro Center / 12th & G St NW,31251,12th & L St NW,W00990,Member,2012
1019,10/1/2012 21:14,10/1/2012 21:31,31243,4th & C St SW,31234,20th & O St NW / Dupont South,W01323,Member,2012
212,10/1/2012 21:57,10/1/2012 22:00,31103,16th & Harvard St NW,31107,Lamont & Mt Pleasant NW,W01414,Member,2012
294,10/1/2012 22:06,10/1/2012 22:11,31602,Park Rd & Holmead Pl NW,31107,Lamont & Mt Pleasant NW,W00286,Member,2012
643,10/1/2012 22:07,10/1/2012 22:18,31256,10th & E St NW,31618,4th & East Capitol St NE,W00877,Member,2012
675,10/1/2012 22:10,10/1/2012 22:21,31225,C & O Canal & Wisconsin Ave NW,31229,New Hampshire Ave & T St NW,W20076,Member,2012
402,10/1/2012 22:30,10/1/2012 22:37,31211,Kennedy Center,31212,21st & M St NW,W00899,Member,2012
294,10/1/2012 22:49,10/1/2012 22:54,31200,Massachusetts Ave & Dupont Circle NW,31257,22nd & I St NW / Foggy Bottom,W00673,Member,2012
801,10/1/2012 23:19,10/1/2012 23:33,31220,US Dept of State / Virginia Ave & 21st St NW,31241,Thomas Circle,W01296,Member,2012
473,10/1/2012 23:37,10/1/2012 23:45,31217,USDA / 12th & Independence Ave SW,31251,12th & L St NW,W00807,Member,2012
473,10/2/2012 6:25,10/2/2012 6:33,31623,Columbus Circle / Union Station,31208,M St & New Jersey Ave SE,W00147,Member,2012
453,10/2/2012 6:42,10/2/2012 6:50,31111,10th & U St NW,31213,17th & K St NW,W00379,Member,2012
661,10/2/2012 7:02,10/2/2012 7:14,31214,17th & Corcoran St NW,31506,1st & Rhode Island Ave NW,W20973,Member,2012
236,10/2/2012 7:19,10/2/2012 7:23,31203,14th & Rhode Island Ave NW,31221,18th & M St NW,W01020,Member,2012
341,10/2/2012 7:23,10/2/2012 7:29,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W00291,Member,2012
582,10/2/2012 7:38,10/2/2012 7:48,31508,Gallaudet / 8th St & Florida Ave NE,31616,3rd & H St NE,W01479,Member,2012
543,10/2/2012 7:45,10/2/2012 7:54,31104,Adams Mill & Columbia Rd NW,31234,20th & O St NW / Dupont South,W00983,Member,2012
371,10/2/2012 8:18,10/2/2012 8:24,31110,20th St & Florida Ave NW,31213,17th & K St NW,W00541,Member,2012
812,10/2/2012 9:13,10/2/2012 9:26,31212,21st & M St NW,31256,10th & E St NW,W00519,Member,2012
140,10/2/2012 10:57,10/2/2012 10:59,31252,21st St & Pennsylvania Ave NW,31212,21st & M St NW,W01353,Member,2012
198,10/2/2012 11:06,10/2/2012 11:09,31033,Barcroft Community Center,31037,Ballston Metro / N Stuart & 9th St N,W00669,Member,2012
1476,10/2/2012 12:06,10/2/2012 12:31,31623,Columbus Circle / Union Station,31624,North Capitol St & F St NW,W01469,Member,2012
246,10/2/2012 12:23,10/2/2012 12:27,31253,19th & K St NW,31238,14th & G St NW,W20169,Member,2012
665,10/2/2012 12:42,10/2/2012 12:54,31116,California St & Florida Ave NW,31224,19th & L St NW,W01414,Member,2012
903,10/2/2012 12:50,10/2/2012 13:05,31611,13th & H St NE,31618,4th & East Capitol St NE,W00553,Member,2012
269,10/2/2012 14:17,10/2/2012 14:21,31619,Lincoln Park / 13th & East Capitol St NE ,31610,Eastern Market / 7th & North Carolina Ave SE,W00826,Member,2012
398,10/2/2012 14:18,10/2/2012 14:25,31108,4th & M St SW,31218,L'Enfant Plaza / 7th & C St SW,W00695,Member,2012
263,10/2/2012 15:19,10/2/2012 15:23,31116,California St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00153,Member,2012
200,10/2/2012 15:27,10/2/2012 15:31,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00748,Member,2012
920,10/2/2012 15:31,10/2/2012 15:47,31614,11th & H St NE,31624,North Capitol St & F St NW,W01198,Member,2012
563,10/2/2012 15:34,10/2/2012 15:44,31113,Columbia Rd & Belmont St NW,31213,17th & K St NW,W01269,Member,2012
966,10/2/2012 15:43,10/2/2012 16:00,31228,8th & H St NW,31239,Rhode Island & Connecticut Ave NW,W20928,Member,2012
638,10/2/2012 16:00,10/2/2012 16:10,31230,Metro Center / 12th & G St NW,31616,3rd & H St NE,W00041,Member,2012
403,10/2/2012 16:02,10/2/2012 16:09,31604,3rd & H St NW,31241,Thomas Circle,W20931,Member,2012
1871,10/2/2012 16:14,10/2/2012 16:45,31249,Jefferson Memorial,31041,Prince St & Union St,W01479,Member,2012
1067,10/2/2012 16:14,10/2/2012 16:32,31110,20th St & Florida Ave NW,31230,Metro Center / 12th & G St NW,W00698,Member,2012
649,10/2/2012 16:15,10/2/2012 16:25,31213,17th & K St NW,31113,Columbia Rd & Belmont St NW,W01403,Member,2012
312,10/2/2012 16:17,10/2/2012 16:23,31243,4th & C St SW,31108,4th & M St SW,W20191,Member,2012
1163,10/2/2012 16:18,10/2/2012 16:38,31253,19th & K St NW,31108,4th & M St SW,W01012,Member,2012
780,10/2/2012 16:30,10/2/2012 16:43,31219,10th St & Constitution Ave NW,31212,21st & M St NW,w00765,Member,2012
853,10/2/2012 16:45,10/2/2012 16:59,31239,Rhode Island & Connecticut Ave NW,31203,14th & Rhode Island Ave NW,W01209,Member,2012
894,10/2/2012 16:46,10/2/2012 17:01,31247,Jefferson Dr & 14th St SW,31203,14th & Rhode Island Ave NW,W00716,Casual,2012
1378,10/2/2012 16:52,10/2/2012 17:15,31217,USDA / 12th & Independence Ave SW,31229,New Hampshire Ave & T St NW,W20176,Member,2012
350,10/2/2012 16:54,10/2/2012 16:59,31253,19th & K St NW,31200,Massachusetts Ave & Dupont Circle NW,W01120,Member,2012
1084,10/2/2012 17:02,10/2/2012 17:20,31257,22nd & I St NW / Foggy Bottom,31602,Park Rd & Holmead Pl NW,W01074,Member,2012
192,10/2/2012 17:05,10/2/2012 17:08,31012,26th & S Clark St,31007,Crystal City Metro / 18th & Bell St,W20907,Member,2012
119,10/2/2012 17:18,10/2/2012 17:20,31257,22nd & I St NW / Foggy Bottom,31212,21st & M St NW,W00730,Member,2012
803,10/2/2012 17:33,10/2/2012 17:46,31107,Lamont & Mt Pleasant NW,31201,15th & P St NW,W20953,Member,2012
828,10/2/2012 17:34,10/2/2012 17:48,31113,Columbia Rd & Belmont St NW,31257,22nd & I St NW / Foggy Bottom,W01403,Member,2012
258,10/2/2012 17:36,10/2/2012 17:40,31202,14th & R St NW,31214,17th & Corcoran St NW,W20194,Member,2012
1210,10/2/2012 17:38,10/2/2012 17:58,31227,13th St & New York Ave NW,31611,13th & H St NE,W01309,Member,2012
1331,10/2/2012 17:41,10/2/2012 18:03,31242,18th St & Pennsylvania Ave NW,31209,1st & N St  SE,W00509,Member,2012
648,10/2/2012 17:44,10/2/2012 17:55,31201,15th & P St NW,31503,Florida Ave & R St NW,W20176,Member,2012
937,10/2/2012 17:46,10/2/2012 18:02,31017,Wilson Blvd & N Uhle St,31035,N Quincy St & Glebe Rd,W00880,Member,2012
453,10/2/2012 17:51,10/2/2012 17:59,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31623,Columbus Circle / Union Station,W01216,Member,2012
489,10/2/2012 17:57,10/2/2012 18:06,31607,14th & D St SE,31612,D St & Maryland Ave NE,W01455,Member,2012
390,10/2/2012 17:58,10/2/2012 18:04,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31622,13th & D St NE,W00135,Member,2012
576,10/2/2012 17:59,10/2/2012 18:09,31205,21st & I St NW,31250,20th & L St NW,W01176,Member,2012
1019,10/2/2012 17:59,10/2/2012 18:16,31251,12th & L St NW,31618,4th & East Capitol St NE,W20043,Member,2012
891,10/2/2012 18:02,10/2/2012 18:17,31213,17th & K St NW,31101,14th & V St NW,W00303,Member,2012
870,10/2/2012 18:04,10/2/2012 18:18,31246,M St & Pennsylvania Ave NW,31249,Jefferson Memorial,W00157,Member,2012
210,10/2/2012 18:08,10/2/2012 18:11,31116,California St & Florida Ave NW,31101,14th & V St NW,W00564,Member,2012
1159,10/2/2012 18:10,10/2/2012 18:29,31217,USDA / 12th & Independence Ave SW,31623,Columbus Circle / Union Station,W00680,Member,2012
565,10/2/2012 18:10,10/2/2012 18:20,31610,Eastern Market / 7th & North Carolina Ave SE,31208,M St & New Jersey Ave SE,W00096,Casual,2012
319,10/2/2012 18:11,10/2/2012 18:16,31623,Columbus Circle / Union Station,31614,11th & H St NE,W20191,Member,2012
300,10/2/2012 18:13,10/2/2012 18:18,31003,15th & Crystal Dr,31005,Pentagon City Metro / 12th & S Hayes St,W00187,Member,2012
154,10/2/2012 18:14,10/2/2012 18:16,31007,Crystal City Metro / 18th & Bell St,31013,Eads & 22nd St S,W20874,Member,2012
214,10/2/2012 18:14,10/2/2012 18:17,31028,N Veitch & Key Blvd,31019,Wilson Blvd & N Edgewood St,W00410,Member,2012
1579,10/2/2012 18:15,10/2/2012 18:41,31002,20th & Crystal Dr,31236,37th & O St NW / Georgetown University,W01477,Member,2012
253,10/2/2012 18:22,10/2/2012 18:27,31217,USDA / 12th & Independence Ave SW,31609,Maine Ave & 7th St SW,W01458,Member,2012
271,10/2/2012 18:25,10/2/2012 18:29,31200,Massachusetts Ave & Dupont Circle NW,31229,New Hampshire Ave & T St NW,W20934,Member,2012
1400,10/2/2012 18:38,10/2/2012 19:01,31219,10th St & Constitution Ave NW,31011,23rd & Crystal Dr,W00883,Member,2012
240,10/2/2012 18:40,10/2/2012 18:44,31623,Columbus Circle / Union Station,31612,D St & Maryland Ave NE,W01143,Member,2012
194,10/2/2012 18:46,10/2/2012 18:50,31228,8th & H St NW,31223,Convention Center / 7th & M St NW,W00051,Member,2012
953,10/2/2012 18:47,10/2/2012 19:03,31230,Metro Center / 12th & G St NW,31603,1st & M St NE,W00698,Member,2012
348,10/2/2012 18:56,10/2/2012 19:02,31033,Barcroft Community Center,31021,Clarendon Blvd & N Fillmore St,W20157,Member,2012
512,10/2/2012 19:00,10/2/2012 19:08,31302,Wisconsin Ave & Newark St NW,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,W00704,Member,2012
